,danceability,loudness,speechiness,acousticness,valence,duration_in min/ms,Class
8676,0.4070021881838074,0.594976009031894,0.024847632442569153,0.6845493562231759,0.6429686686790882,0.49450557326959765,9
11957,0.4048140043763676,0.7103020039514537,0.25925925925925924,0.0022424892703862657,0.0187363380868117,0.5031151663198592,8
1401,0.5076586433260394,0.43053909116567884,0.5358649789029536,0.1856223175965665,0.4941188716560841,0.45006355411558147,5
4951,0.4934354485776805,0.42337002540220164,0.0850914205344585,0.00417381974248927,0.0334131362548142,0.8158863577245389,6
3124,0.4649890590809628,0.31662432966412657,0.03984997655883731,0.944206008583691,0.06755490787967107,0.3988294527889704,9
11349,0.8129102844638949,0.13892181766864242,0.12259728082512891,0.13090128755364805,0.9354637243676487,0.9837325439323035,5
12985,0.5054704595185996,0.5652272085802993,0.02273792780121893,0.371244635193133,0.7886957426876237,0.4417600240274184,6
14581,0.6444201312910285,0.6529494778436353,0.019456165025785274,0.0019527896995708153,0.9063183095659415,0.4537551765556863,9
11947,0.8741794310722101,0.30985040925769125,0.30379746835443033,0.26394849785407726,0.5461642552305611,0.3579092540207442,5
257,0.563457330415755,0.6266440869319786,0.110407876230661,0.007564377682403433,0.824086603518268,4.837751367337148e-06,9
7903,0.4759299781181619,0.6653683319221,0.14744491326769807,4.656652360515021e-05,0.4837097949411887,0.5558020185556085,8
8487,0.2658643326039387,0.5206322325712673,0.03703703703703703,0.005590128755364807,0.1599875091079421,0.8024698991120056,6
1948,0.2308533916849015,0.7925486875529213,0.43741209563994365,0.0005697424892703863,0.4909961486416155,0.17100121497489135,6
17292,0.7363238512035011,0.3637595258255716,0.2967651195499296,0.22210300429184546,0.15478297075049444,0.4517552856937556,5
16981,0.6969365426695843,0.7977420265311883,0.2897327707454289,0.5547210300429184,0.5857187467471635,0.43471847957749665,9
14131,0.7264770240700219,0.37742026531188266,0.20768870135958742,0.5107296137339056,0.7793275736442178,0.4192622999915268,5
15290,0.2855579868708972,0.6218458933107537,0.4139709329582747,1.1266094420600856e-05,0.13708754033517226,0.5483118612708303,8
8943,0.6816192560175054,0.4636184024837709,0.02977027660571964,0.0043991416309012875,0.6575413760799418,0.42848401896598515,6
14899,0.2789934354485777,0.8585944115156647,0.10407876230661038,1.448497854077253e-06,0.598209638805038,0.5478925969391887,6
13598,0.6455142231947484,0.5994355066327972,0.07149554617909049,0.03927038626609442,0.41500988862287913,0.37565880950079394,6
598,0.6816192560175054,0.4413773638159752,0.6976090014064698,0.6030042918454935,0.370250858748829,0.23090151003653556,5
3774,0.887308533916849,0.6763759525825572,0.7890295358649788,0.18884120171673818,0.5357551785156657,0.29936947171527717,5
5646,0.824945295404814,0.47965001411233416,0.193624003750586,0.9388412017167381,0.8053502654314563,0.28682089026924223,9
3980,0.3949671772428884,0.5412926898108948,0.0876699484294421,0.000528969957081545,0.05298220047881753,0.9494220473524081,8
17921,0.5842450765864333,0.7656788032740616,0.033052039381153295,0.0003476394849785408,0.36400541271989173,0.3722208419813323,9
13744,0.5393873085339168,0.5035280835450184,0.005625879043600561,0.6716738197424892,0.21411470802539814,0.5689815928207642,9
8698,0.9332603938730855,0.4514817950889078,0.6319737458977965,0.0203862660944206,0.250546476527532,0.3336317528970338,5
15358,0.22866520787746167,0.7591871295512279,0.26160337552742613,0.0001856223175965665,0.2078692619964609,0.5168565547894146,8
6407,0.6345733041575493,0.7560824160316117,0.2100328176277543,0.2832618025751073,0.8636410950348704,0.4478959575209941,9
3896,0.6597374179431073,0.7239627434377647,0.14978902953586495,0.0026931330472103002,0.36088268970542314,0.40850397724160176,8
4248,0.38621444201312904,0.455941292689811,0.03680262541022035,0.7457081545064377,0.4181326116373478,0.25768830818512134,6
14112,0.7275711159737418,0.5718882303132938,0.32723863103609935,0.2832618025751073,0.4483189341105444,0.40517501844836695,5
9320,0.8599562363238512,0.6044030482641829,0.136896390060947,0.08690987124463519,0.6658686374518581,0.4123633054143633,6
14737,0.563457330415755,0.47338413773638166,0.012423816221284573,0.4431330472103004,0.370250858748829,0.4217569227647947,9
7220,0.8140043763676148,0.5517922664408694,0.6577590248476324,0.06555793991416309,0.8344956802331633,0.399137612072727,9
11454,0.8304157549234136,0.3738639570985042,0.41631504922644164,0.34442060085836906,0.8521911106484855,0.5179131009051516,9
4806,0.4059080962800875,0.5317527519051652,0.04992967651195498,5.1931330472103e-06,0.40043718122202565,0.6325630287142222,8
14288,0.6334792122538294,0.8076206604572398,0.06329113924050632,0.0011802575107296136,0.677318621838243,0.4086612013659674,5
13994,0.3632385120350109,0.4124753034151849,0.046179090482887944,0.0023068669527896994,0.034974497762048515,0.7223631595868916,6
8412,0.37636761487964987,0.7208015805814283,0.193624003750586,0.001834763948497854,0.44415530342458626,0.5618121727496918,8
10715,0.2549234135667396,0.47654530059271805,0.3459915611814346,0.0019849785407725323,0.24638284584157386,0.453782428737243,6
8269,0.2571115973741794,0.2531188258537963,0.30145335208626345,0.00044635193133047205,0.08087852607473718,0.5869114319634199,6
6377,0.8260393873085339,0.5551227773073667,0.12564463197374587,0.0010300429184549357,0.6283959612782346,0.603849710961743,5
5260,0.9168490153172867,0.15822749082698284,0.7749648382559774,0.01094420600858369,0.7376912667846361,0.36833635794867237,5
17047,0.6422319474835887,0.4823595822749084,0.15119549929676512,0.6952789699570815,0.3473508899760591,0.42620112468019633,9
12090,0.4387308533916848,0.7162856336438047,0.21472105016408813,1.4270386266094419e-06,0.10169667950452796,0.5828319900165465,8
12820,0.687089715536105,0.6605136889641547,0.25691514299109236,0.6491416309012875,0.70646403663995,0.38526625166036266,5
652,0.7177242888402626,0.5081004798193622,0.15447726207219878,0.6469957081545064,0.8115957114603936,0.4256204435808726,5
10148,0.5798687089715536,0.629805249788315,0.026488513830285984,0.48497854077253216,0.7533048818569793,0.3843522554173838,9
2844,0.8260393873085339,0.5218741179791138,0.7890295358649788,0.059012875536480686,0.7356094514416571,0.2544180463983164,5
13659,0.3796498905908096,0.6889641546711828,0.2991092358180965,0.0002628755364806867,0.27136462995732286,0.510661924289409,8
15457,0.6838074398249453,0.3100762066045724,0.05555555555555556,0.6437768240343347,0.4774643489122515,0.7068776314977068,5
